status,key,rule,path,line,category,probability,message
"pending","AZwwyFkQ0qvqV_CtK2T0","c:S5801","legacy/dos/sound.c","521","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFkQ0qvqV_CtK2T7","c:S5801","legacy/dos/sound.c","633","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFkQ0qvqV_CtK2T_","c:S5801","legacy/dos/sound.c","738","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyEeI0qvqV_CtK0_n","cpp:S2245","libid/io/gifview.cpp","375","weak-cryptography","MEDIUM","Make sure that using this pseudorandom number generator ""rand"" is safe here."
"pending","AZwwyE850qvqV_CtK1ds","cpp:S2245","libid/ui/evolve.cpp","447","weak-cryptography","MEDIUM","Make sure that using this pseudorandom number generator ""rand"" is safe here."
"pending","AZwwyE850qvqV_CtK1d7","cpp:S2245","libid/ui/evolve.cpp","591","weak-cryptography","MEDIUM","Make sure that using this pseudorandom number generator ""rand"" is safe here."
"pending","AZwwyE850qvqV_CtK1eE","cpp:S2245","libid/ui/evolve.cpp","886","weak-cryptography","MEDIUM","Make sure that using this pseudorandom number generator ""rand"" is safe here."
"pending","AZwwyE850qvqV_CtK1eH","cpp:S2245","libid/ui/evolve.cpp","901","weak-cryptography","MEDIUM","Make sure that using this pseudorandom number generator ""rand"" is safe here."
"pending","AZwwyE9F0qvqV_CtK1eP","cpp:S2245","libid/ui/intro.cpp","85","weak-cryptography","MEDIUM","Make sure that using this pseudorandom number generator ""rand"" is safe here."
"pending","AZ6oIFYN1A3VsDXBVZqk","cpp:S2245","libid/ui/rotate.cpp","49","weak-cryptography","MEDIUM","Make sure that using this pseudorandom number generator ""rand"" is safe here."
"pending","AZ6oIFbW1A3VsDXBVZqm","cpp:S2245","libid/ui/starfield.cpp","45","weak-cryptography","MEDIUM","Make sure that using this pseudorandom number generator ""rand"" is safe here."
"pending","AZ6oIF0a1A3VsDXBVZq6","cpp:S2245","tests/libid/engine/test_random_seed.cpp","96","weak-cryptography","MEDIUM","Make sure that using this pseudorandom number generator ""rand"" is safe here."
"pending","AZ6oIF0a1A3VsDXBVZq8","cpp:S2245","tests/libid/engine/test_random_seed.cpp","97","weak-cryptography","MEDIUM","Make sure that using this pseudorandom number generator ""rand"" is safe here."
"pending","AZ6oIF0a1A3VsDXBVZq-","cpp:S2245","tests/libid/engine/test_random_seed.cpp","102","weak-cryptography","MEDIUM","Make sure that using this pseudorandom number generator ""rand"" is safe here."
"pending","AZwwyFO60qvqV_CtK1_C","cpp:S5443","libid/engine/cmdfiles.cpp","425","others","LOW","Make sure publicly writable directories (accessed through an environment variable) are used safely here"
"pending","AZwwyFO60qvqV_CtK1_D","cpp:S5443","libid/engine/cmdfiles.cpp","428","others","LOW","Make sure publicly writable directories (accessed through an environment variable) are used safely here"
"pending","AZwwyFO60qvqV_CtK197","cpp:S5801","libid/engine/cmdfiles.cpp","359","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFNd0qvqV_CtK18j","cpp:S5801","libid/engine/trig_fns.cpp","116","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyE260qvqV_CtK1Si","cpp:S5801","libid/fractals/lsystem.cpp","144","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyE260qvqV_CtK1S1","cpp:S5801","libid/fractals/lsystem.cpp","246","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyE4I0qvqV_CtK1Vi","cpp:S5801","libid/fractals/parser.cpp","2209","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyE4I0qvqV_CtK1Vt","cpp:S5801","libid/fractals/parser.cpp","2527","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyEhW0qvqV_CtK1CN","cpp:S5801","libid/io/encoder.cpp","733","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyEhW0qvqV_CtK1CU","cpp:S5801","libid/io/encoder.cpp","796","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyEjh0qvqV_CtK1Fc","cpp:S5801","libid/io/expand_dirname.cpp","22","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyEjh0qvqV_CtK1Fd","cpp:S5801","libid/io/expand_dirname.cpp","23","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyEiz0qvqV_CtK1FC","cpp:S5801","libid/io/file_item.cpp","175","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyEct0qvqV_CtK09m","cpp:S5801","libid/io/fix_dirname.cpp","34","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyEfi0qvqV_CtK1An","cpp:S5801","libid/io/loadfile.cpp","1379","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyEfi0qvqV_CtK1Ap","cpp:S5801","libid/io/loadfile.cpp","1444","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyEfi0qvqV_CtK1Ag","cpp:S5801","libid/io/loadfile.cpp","1551","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFQy0qvqV_CtK2Bs","cpp:S5801","libid/math/bigflt.cpp","174","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFQy0qvqV_CtK2Bu","cpp:S5801","libid/math/bigflt.cpp","199","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFQy0qvqV_CtK2Bw","cpp:S5801","libid/math/bigflt.cpp","216","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFQy0qvqV_CtK2DE","cpp:S5801","libid/math/bigflt.cpp","2255","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFQy0qvqV_CtK2DG","cpp:S5801","libid/math/bigflt.cpp","2305","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFRR0qvqV_CtK2EA","cpp:S5801","libid/math/bignum.cpp","382","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFAU0qvqV_CtK1k0","cpp:S5801","libid/ui/file_get_window.cpp","384","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFAU0qvqV_CtK1k1","cpp:S5801","libid/ui/file_get_window.cpp","385","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFA20qvqV_CtK1lW","cpp:S5801","libid/ui/full_screen_choice.cpp","73","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFBo0qvqV_CtK1m7","cpp:S5801","libid/ui/full_screen_prompt.cpp","433","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFBo0qvqV_CtK1nm","cpp:S5801","libid/ui/full_screen_prompt.cpp","1073","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFBo0qvqV_CtK1nr","cpp:S5801","libid/ui/full_screen_prompt.cpp","1131","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFFl0qvqV_CtK1ui","cpp:S5801","libid/ui/get_3d_params.cpp","115","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFFl0qvqV_CtK1v2","cpp:S5801","libid/ui/get_3d_params.cpp","473","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFED0qvqV_CtK1rN","cpp:S5801","libid/ui/get_file_entry.cpp","314","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFED0qvqV_CtK1rO","cpp:S5801","libid/ui/get_file_entry.cpp","325","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyE-U0qvqV_CtK1f-","cpp:S5801","libid/ui/get_fract_type.cpp","158","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFDj0qvqV_CtK1p8","cpp:S5801","libid/ui/get_toggles.cpp","228","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFDt0qvqV_CtK1qX","cpp:S5801","libid/ui/get_toggles2.cpp","89","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFDt0qvqV_CtK1qY","cpp:S5801","libid/ui/get_toggles2.cpp","96","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFFC0qvqV_CtK1s5","cpp:S5801","libid/ui/make_batch_file.cpp","144","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFFC0qvqV_CtK1s7","cpp:S5801","libid/ui/make_batch_file.cpp","191","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFFC0qvqV_CtK1s9","cpp:S5801","libid/ui/make_batch_file.cpp","210","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFFC0qvqV_CtK1s6","cpp:S5801","libid/ui/make_batch_file.cpp","211","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFFC0qvqV_CtK1s-","cpp:S5801","libid/ui/make_batch_file.cpp","214","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFFC0qvqV_CtK1s_","cpp:S5801","libid/ui/make_batch_file.cpp","219","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFFC0qvqV_CtK1tO","cpp:S5801","libid/ui/make_batch_file.cpp","364","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFFC0qvqV_CtK1tP","cpp:S5801","libid/ui/make_batch_file.cpp","368","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyE8o0qvqV_CtK1cL","cpp:S5801","libid/ui/slideshw.cpp","138","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyE_D0qvqV_CtK1hV","cpp:S5801","libid/ui/thinking.cpp","47","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFeL0qvqV_CtK2Of","cpp:S5801","tests/libid/engine/test_cmdfiles.cpp","193","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFef0qvqV_CtK2O4","cpp:S5801","tests/libid/engine/test_lowerize_parameter.cpp","26","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFef0qvqV_CtK2O5","cpp:S5801","tests/libid/engine/test_lowerize_parameter.cpp","36","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFaw0qvqV_CtK2Mx","cpp:S5801","tests/libid/io/test_expand_dirname.cpp","49","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFaw0qvqV_CtK2My","cpp:S5801","tests/libid/io/test_expand_dirname.cpp","50","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFaw0qvqV_CtK2Mz","cpp:S5801","tests/libid/io/test_expand_dirname.cpp","60","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFaw0qvqV_CtK2M0","cpp:S5801","tests/libid/io/test_expand_dirname.cpp","69","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc00qvqV_CtK2N4","cpp:S5801","tests/libid/ui/test_ChoiceBuilder.cpp","761","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2N8","cpp:S5801","tests/libid/ui/test_comments.cpp","82","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2N9","cpp:S5801","tests/libid/ui/test_comments.cpp","101","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2N-","cpp:S5801","tests/libid/ui/test_comments.cpp","110","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2N_","cpp:S5801","tests/libid/ui/test_comments.cpp","119","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OA","cpp:S5801","tests/libid/ui/test_comments.cpp","128","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OB","cpp:S5801","tests/libid/ui/test_comments.cpp","138","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OC","cpp:S5801","tests/libid/ui/test_comments.cpp","148","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OD","cpp:S5801","tests/libid/ui/test_comments.cpp","158","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OE","cpp:S5801","tests/libid/ui/test_comments.cpp","168","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OF","cpp:S5801","tests/libid/ui/test_comments.cpp","178","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OG","cpp:S5801","tests/libid/ui/test_comments.cpp","188","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OH","cpp:S5801","tests/libid/ui/test_comments.cpp","198","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OI","cpp:S5801","tests/libid/ui/test_comments.cpp","207","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OJ","cpp:S5801","tests/libid/ui/test_comments.cpp","217","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OK","cpp:S5801","tests/libid/ui/test_comments.cpp","227","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OL","cpp:S5801","tests/libid/ui/test_comments.cpp","237","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OM","cpp:S5801","tests/libid/ui/test_comments.cpp","246","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2ON","cpp:S5801","tests/libid/ui/test_comments.cpp","255","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OO","cpp:S5801","tests/libid/ui/test_comments.cpp","264","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OP","cpp:S5801","tests/libid/ui/test_comments.cpp","273","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OQ","cpp:S5801","tests/libid/ui/test_comments.cpp","282","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OR","cpp:S5801","tests/libid/ui/test_comments.cpp","291","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFc_0qvqV_CtK2OS","cpp:S5801","tests/libid/ui/test_comments.cpp","302","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFXQ0qvqV_CtK2Ku","cpp:S5801","win32/Win32BaseDriver.cpp","514","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFXF0qvqV_CtK2KS","cpp:S5801","win32/WinText.cpp","163","buffer-overflow","HIGH","Make sure use of ""strcpy"" is safe here."
"pending","AZwwyFjq0qvqV_CtK2S0","cpp:S5813","hc/AsciiDocCompiler.cpp","234","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFiF0qvqV_CtK2Pw","cpp:S5813","hc/HelpSource.cpp","272","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFiF0qvqV_CtK2QF","cpp:S5813","hc/HelpSource.cpp","602","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFiF0qvqV_CtK2QG","cpp:S5813","hc/HelpSource.cpp","650","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFiF0qvqV_CtK2QH","cpp:S5813","hc/HelpSource.cpp","652","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFiF0qvqV_CtK2QI","cpp:S5813","hc/HelpSource.cpp","688","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFiF0qvqV_CtK2QJ","cpp:S5813","hc/HelpSource.cpp","690","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFiF0qvqV_CtK2QM","cpp:S5813","hc/HelpSource.cpp","749","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFiF0qvqV_CtK2QO","cpp:S5813","hc/HelpSource.cpp","817","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFiF0qvqV_CtK2QV","cpp:S5813","hc/HelpSource.cpp","1185","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFiF0qvqV_CtK2Qp","cpp:S5813","hc/HelpSource.cpp","1378","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFiF0qvqV_CtK2Qq","cpp:S5813","hc/HelpSource.cpp","1446","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFiF0qvqV_CtK2Qs","cpp:S5813","hc/HelpSource.cpp","1706","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFiF0qvqV_CtK2Qt","cpp:S5813","hc/HelpSource.cpp","1720","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFO60qvqV_CtK1-F","cpp:S5813","libid/engine/cmdfiles.cpp","709","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFO60qvqV_CtK1-T","cpp:S5813","libid/engine/cmdfiles.cpp","860","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFO60qvqV_CtK1-U","cpp:S5813","libid/engine/cmdfiles.cpp","870","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFO60qvqV_CtK1-V","cpp:S5813","libid/engine/cmdfiles.cpp","894","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFO60qvqV_CtK1-W","cpp:S5813","libid/engine/cmdfiles.cpp","970","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyFO60qvqV_CtK1-3","cpp:S5813","libid/engine/cmdfiles.cpp","4284","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyE260qvqV_CtK1Sv","cpp:S5813","libid/fractals/lsystem.cpp","210","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
"pending","AZwwyE260qvqV_CtK1S7","cpp:S5813","libid/fractals/lsystem.cpp","293","buffer-overflow","HIGH","Make sure use of ""strlen"" is safe here."
